Ddx3y
Rpl19
Vamp2
Gm9843
Gabarapl1
Rps27a
Ppia
Calm1
Chchd10
Rps26-ps1
Chd3os
Atp6v1g2
Ddah1
Rpl6l
Rps25
1700016D06Rik
Pnpla7
Ngfrap1
Eif1
Bex2
Fkbp1a
Nlrc4
Uqcrh
Dpysl2
Nedd8
Mt3
Pnmal2
Mllt11
Gm11808
Uqcr10
Gnb1
Mif
Rps3
Calm3
Cfl1
2210013O21Rik
Ywhae
Tuba1b
Dynlrb1
Sub1
Cox8a
Gm10076
Hint1
Sumo2
Cycs
Oaz1
Atp6v1g1
Atp5g1
Rpl27-ps3
Wbp5
Cox6b1
Rpl36al
Pfdn5
Dynll2
Ahi1
Tceb2
Serp2
Gm10036
Camk2n1
Rpl13-ps3
Uqcrq
Rps18-ps3
Sumo1
Tubb5
Otub1
Timm8b
Rpl8
Rps9
Skp1a
Ndufa7
Ndufa2
Marcks
Spag6l
Map1lc3a
Rps4x
Aes
Rps8
Tma7
Prkar1a
Serf2
Pfn2
Eid1
Rpl29
Rpl6
Rab6a
Atp5g3
Swi5
Tubb4a
Set
Pfdn2
Atpif1
Gpx1
Rpl27a
Impact
Cnot6
Taf1c
Med28
Eif5a
Atp5l
Prkacb
Cox14
Eef1g
Nop10
Atxn7l3b
Myeov2
Coa3
Napb
Snca
Scoc
Rpl39
Rps3a1
Ywhaq
Pja2
Tspyl4
Hnrnpa1
Hras
Rpl4
Nefl
Cox5b
Myl12b
Rps20
Gm10263
Atp6v1a
Cox7a2l
Smdt1
1110008P14Rik
Ndufv3
Cxx1b
Eif1b
Cox7a2
Mtpn
Pebp1
Vmp1
Camk2n2
Crip2
Bag1
Rps15
Sh3bgrl3
Park7
Prkar1b
Iscu
Rps12-ps3
Ptma
Ubl5
A230065H16Rik
Gm4131
Tppp3
Eif4a2
Polr2m
Atp6v1b2
Uqcc2
Atox1
Ina
Pfn1
Pomp
Ptms
Ppp1r11
Hmgb1
Eno2
Atp5e
Clip3
Ttc9b
Smim10l1
Sec61b
Bri3
Stxbp1
Gm26694
Rnf187
Ftl1
Tbca
Peg3
Eef1a2
Ptges3
Ubb
Aldoa
Zfp706
Gclm
Cox7b
Tspyl1
Sumo3
Ndufa6
Gng2
Ypel3
Tuba1a
Rpl7
Rnf11
Ubqln2
Tuba4a
Sdcbp
Fis1
Gm8186
Ppp2ca
Arpp19
Thra
Atp5g2
Gnl3l
Zwint
Ndufb3
Sh3bp1
Bex1
Vdac1
Nhp2l1
Rps14
Snx3
Shfm1
Gda
Atp5a1
Erh
Fth1
Guk1
Gpx4
Snrpd2
Gabarap
Rpl37a
Tomm5
Capza2
Edf1
Tpi1
Necap1
Hypk
Krt1
Eif3h
Eif4g2
Sult4a1
Chmp4b
Rps24
Mien1
Ndufa8
St13
Prdx5
Cirbp
Spin1
Srp9
Pura
Pea15a
Hspa8
Npm1
Tomm7
Hsbp1
Hsph1
Clta
Arpc5l
Vti1b
Fam103a1
Ctxn2
Chchd4
Cfap46
Rpl36-ps3
Rpl21
Glrx5
Ppp1cb
Pin1
Coprs
Nsf
Rpl23a-ps3
Mrps21
Cltc
Timm13
G3bp2
Hspe1
Acadl
1500009L16Rik
Hnrnpk
Higd2a
Zmat2
Sqstm1
Snap25
Lamtor5
Dnaja1
Mrpl54
Ube2m
Sumf1
Serbp1
Polr1d
Cited2
Rrm2b
Scand1
Plekhb2
Tprgl
Calb2
Hpca
Rps7
Ralbp1
Wdr89
Cox7c
Celf4
Dcaf12l1
Ran
Wdr6
Atp5j2
Tusc2
Hcfc1r1
Gm10250
1700030F04Rik
Ankrd46
Ndufc1
Cnbp
Srp14
Ncald
Vat1l
Rnf7
1700037H04Rik
Atp6v1f
Sdhaf4
Map1b
Pkm
Mff
Fkbp3
Ube2ql1
Eif3f
Uqcr11
H3f3b
Mrpl30
Fabp5
Mrpl20
BC048546
Oaz2
Cend1
Elof1
Hnrnpa0
Map2k1
Cmip
Naa38
Syn2
Ppp2r2c
Pfdn1
Rpl10a
Snap47
Hn1
Rnf208
Rpsa
Nucks1
Pithd1
Pdcd4
Pja1
Gsk3b
Stx1b
Dpcd
D8Ertd738e
1110004F10Rik
Polr2k
Syn1
Rplp1
Lonrf2
Atp5h
Gm10073
Rnd2
Dnajb6
Tubb2a
2310036O22Rik
Ppdpf
Efhd2
Stx7
Purb
Gtf2h5
Ppp2r1a
Ensa
Trmt112
Lsm6
Map7
Csde1
Capzb
Mrpl33
Lsm4
Atp6v1e1
Cbx5
Tagln3
Rtf1
Hnrnpab
Epm2aip1
Lamtor2
Mrps33
Sfr1
Gm14820
Cfl2
Aip
Ctla4
Eif1a
Yaf2
Sod1
Hpcal1
Brk1
Rangap1
Snrnp27
Ncl
Chmp5
Prkar2a
H1fx
Rab7
Sh3gl2
Dbpht2
Cfap77
Arpc5
Hmgcs1
Dnaja2
Arhgdia
Acot7
Mapk1
Pcnp
Vsnl1
Hpcal4
Deb1
Zcchc17
Tceb1
Txn1
Minos1
Dcaf7
Trappc9
H3f3a
Prr13
Rpl7a-ps5
Ap1s2
Ube2d2a
Atp6v1c1
A730017C20Rik
Fabp3
Hmgn1
Rgs4
2900011O08Rik
Dctn3
Mrpl18
Gm10053
Fam32a
Ypel5
Rad23b
Zfp428
Chp1
Lysmd2
Habp4
Tox2
Peg10
Dock8
Cox17
Hp1bp3
Timm10
Grcc10
Bod1
B230219D22Rik
Sf3b5
Ranbp1
Zfand5
Anapc11
Tppp
Hnrnpa3
Cacybp
Ttc33
Tmod2
Eef1b2
Nudc
Ube2n
Usp50
Wbp2
Bmyc
2700060E02Rik
Cript
Got1
Mapk8ip2
Ppm1a
2810428I15Rik
Cyfip2
1110065P20Rik
Uba52
Mdh2
Ube2d3
Ndufa5
Pfdn4
Vdac2
Myl6
Tceal1
Ccdc124
Eif1ax
Ak1
Anp32a
Gm10146
Ptp4a2
Actb
Trim32
Polr2j
Pcbp1
Cystm1
Ccdc92
B630019K06Rik
1700001L19Rik
Cltb
Gabarapl2
Ubqln1
Srsf3
Paip1
Nos1
Cdkn2d
Map4
Pcbd1
Ssx2ip
1500011K16Rik
1810037I17Rik
Pak1
Tsnax
Eif2s2
Pdha1
Dctn4
Irs4
Cab39
Aurkaip1
Akr1a1
Fam81a
Ube2l3
Gnao1
Spryd7
Bola3
Klhl9
Zrsr2
Bend6
Romo1
Srp19
Cggbp1
Psmb6
Micu3
Dlg4
Map1a
Lamtor1
Polr3k
Mapre2
Borcs7
Spryd3
Gm6563
Cfdp1
Fam104a
Sarnp
Ndufs6
Ndufb9
Tceal3
1810043H04Rik
Pkig
Ost4
2210016L21Rik
Rab11b
Fkbp8
Hnrnpul2
Gm11273
Txndc17
Gatad1
Chchd1
Mrpl12
Pafah1b1
Gmfb
Wtap
Pnma2
Cplx2
Prkcb
Bola2
Vcp
Bad
Zcchc12
Slco2a1
Fbxo9
Nedd4
Rab6b
Caprin1
Hmgn2
Rnf5
Atp5d
2010107E04Rik
Rps18
Mettl15
Dohh
Gm9844
Kcnk2
Tcp1
Fam195b
Zbtb7a
Mrpl27
Ncdn
Dnm1l
Zfp365
Eif5
Gas7
Mapt
Rps29
Mrps24
Nudt11
Gemin7
Irs2
Sept3
Tubb4b
Gmps
Rpl13a
Ctbp1
Nap1l2
Kctd13
Prrc2b
Rab39
Denr
Matr3
Stx12
Fdx1l
Bnip3l
Rsl24d1
Pafah1b2
Akirin2
Ctnnb1
Flywch2
Rnf220
3110043O21Rik
Ap2m1
Mzt1
Ncs1
Ppp2cb
Prkce
Znhit1
Cetn2
Bcas2
Zbtb20
Phlda3
Vapa
Pitpna
Ift22
Smap2
Ube2e3
Vapb
Enc1
Mlf2
Ubald1
Wdr1
Snrpd3
Ap2s1
Mrpl11
Synj1
Wbp11
Pgm2l1
Serf1
Cstb
Cdip1
Idh3a
Irf2bpl
Dnlz
Dda1
Fopnl
Snx10
BC029722
Ndufb10
Mrps36
Tceal6
Skint6
Tpt1
Zfhx3
Rpl22
Ythdf2
Grb2
BC005624
Dnm1
Dpy30
Wdr82
Rap2a
Pak3
RP23-407N2.2
Naa50
Nudt3
Ppp1ca
Ndrg4
Khdrbs1
Uqcrfs1
Pgp
Eef2
Rps5
Gng13
Bex4
Sh3gl3
Rufy3
Smarca2
Ubl3
Vps29
Bhlhe41
Lmo4
Kifap3
Cited1
Terf2ip
Eno1
Polr2f
Hdgf
Nol7
Klc1
Alyref
Chtop
Nono
Elavl3
Dgcr6
Vat1
Rhob
Ssu72
Elavl4
Scrn1
Tln1
Hdgfrp3
Cep19
Eif4h
Cmpk1
Ddx3x
Prelid1
Eif4b
Terf2
Hnrnpc
Rap2b
Ogdh
2610301B20Rik
Rnf14
Bola1
Ogfrl1
Nup210l
Klf13
Fam217b
Taok3
Ttll7
Bag4
Sox2
1500009C09Rik
4833439L19Rik
Wsb2
2700029M09Rik
Kpna1
Hspa9
Gng4
Eef1e1
Ube2q1
Arhgef4
Plagl1
Ing1
Eif5b
Hspd1
Cyb5b
Dzank1
Stip1
Jph4
Lor
Fam84a
Amotl1
Ntan1
Nrsn1
Mypop
Chd3
Trim35
Tspyl5
Abhd8
Gadd45gip1
2610002M06Rik
Pdxk
Gm10320
Mtcl1
Banf1
Nudt19
Rbfox3
Cep170b
Gpbp1
Arl2
Akap11
Trappc6b
Clns1a
Med21
Sssca1
Anapc13
Tollip
H1f0
Kif21a
Polr2g
Ube2w
Rbx1
Tmem256
Rpl10
Mkrn1
Aamp
Tpd52
Use1
Ndrg3
Psmc1
Pdap1
Znhit3
Tpm1
Mrpl57
Coa6
C330006A16Rik
Alkbh5
Nap1l3
Mapk9
Rplp0
Sucla2
Pcif1
Gm10116
Tomm70a
Ddx6
Fam168b
Mrps14
Camta1
Sept7
Nap1l1
Fbxo2
Mmel1
Dnajb1
Snrnp25
Fem1b
Atp5o
Rtcb
Fam76a
Meaf6
Usp11
Stub1
Tsen34
Ube2j1
Tceal8
Atp5b
Cmas
Isca1
Cand1
Paip2
Phyhip
Ddx24
Klhl13
Zc3h15
Glp2r
Hspa4
Arhgef17
Chmp3
Grik3
Ankrd34b
Hspa12a
Nudt4
Lin7c
Fyttd1
Psma2
A430005L14Rik
Spag7
Camk2b
Wasl
Pum2
Ube2r2
Cplx1
Mrps16
Vbp1
Mrpl28
Glyr1
Cdv3
Fabp3-ps1
Otud6b
Eif3a
Agap3
Kpnb1
Trim44
Rpl15
Usp5
Zc2hc1a
Ndufb7
Aprt
Synrg
Pkia
Becn1
Zrsr1
Golph3
Uhmk1
Fbxo21
Arl3
Cdc26
Rnf41
Cotl1
Pnrc1
Smarcc2
Mapkap1
Fto
Akirin1
Mrpl52
Evl
Sdha
Rab12
Fam136a
D030056L22Rik
Arpc1a
Map9
Uqcrb
Llph
Sept8
Chmp2b
Abat
Mapk3
Taf11
Larp4b
6030419C18Rik
Hap1
Morf4l2
Spred1
Dusp3
Ccdc6
Snrpd1
Coa5
Jak1
Plcxd2
Mrpl34
Acot13
Fxyd2
Nudcd3
Btf3
Nap1l4
Mrps23
Slmo2
Limd2
Tpm3
Ppp1r21
Ube2e1
Hif1a
Sf3b6
Snrpf
Morn2
Atxn10
Mbd3
Ube2q2
Strap
Nhp2
Ppp1r9b
B230217C12Rik
Rrp7a
Gsk3a
Rab28
Asxl2
Nr2f2
Cdk5r1
Crk
Got2
1110059E24Rik
1110032A03Rik
N6amt2
Atmin
Nr2c2ap
Marf1
Hars
Arl6ip4
Pkib
Fgfr1op2
Pcbp2
Ap1s1
Kbtbd11
Rab11a
Hnrnph2
Srp72
Fam155a
Cox6a1
Nav3
Timp2
mt-Nd4
Meg3
Sgcz
Csmd1
Faim2
Gabbr1
Nrxn1
Car10
Gabrb3
Cpe
Grik2
Dlg2
Mrpl15
Rps2-ps2
Rpl5-ps1
Rpl12-ps1
Rpl31
Mrps9
Rpl23a-ps1
Rps27a-ps1
Rpl18-ps1
Rpl17-ps1
Rps13-ps7
Rps27-ps1
Rpl31-ps24
Rpl10a-ps1
Rpl31-ps14
Mrpl44
Rpl19-ps1
Rpl30-ps6
Rpl28-ps1
Rpl31-ps9
Rpsa-ps1
Rpl27-ps1
Cox20
Rpl35a-ps2
Rpl21-ps1
Rps6kc1
Mrpl41
Rpl7a
Mrps2
Rpsa-ps9
Rpl12
Rpl15-ps4
Rpl35
Rpl10a-ps4
Rpl35-ps1
Rpl9-ps7
Rpl36a-ps4
Rps13-ps8
Mrpl23-ps1
Rps6-ps4
Rpl30-ps3
Rpl10-ps1
Rpl35a-ps4
Rps12-ps10
Mrps5
Mrps26
Rpl23a-ps4
Rps19-ps7
Rpl26-ps5
Rps13-ps6
Rps15a-ps7
Cox4i2
Rpl5-ps2
Rpl21-ps9
Rpl30-ps5
Rps8-ps2
Rps8-ps5
Rps21
Rpl19-ps12
Rpl22-ps1
Rpl23a-ps13
Rpl30-ps11
Rpl3-ps1
Rpl36-ps10
Rpl7-ps9
Rps2-ps13
Rpl7l1-ps1
Rpl7a-ps13
Rplp1-ps1
Rpl30-ps10
Rpl3-ps2
Rps24-ps3
Rpl10-ps4
Rpl13-ps5
Rpl17-ps8
Rps12-ps1
Rpl30-ps9
Rps6ka6
Rps12-ps21
Rps12-ps22
Rps12-ps23
Rps12-ps20
Rps12-ps6
Rps12-ps11
Rps12-ps12
Rps12-ps18
Rps12-ps15
Rps12-ps17
Rps12-ps13
Rps12-ps14
Rps12-ps16
Rpl36a
Prps1
Rps12-ps7
Rpl21-ps15
Rpl7a-ps12
Rps7-ps3
Rps6ka3
Rpl7a-ps11
Prps2
Rps24-ps2
Mrps28
Mrpl47
Rps23-ps1
Rpl31-ps15
Rpl21-ps10
Rpl23a-ps5
Rpl13-ps6
Rpl32-ps
Rpl28-ps2
Mrpl24
Rps27
Rpl13-ps4
Rplp0-ps1
Mrpl9
Rpl31-ps11
Rps10-ps1
Rpl21-ps11
Rpl36-ps7
Rpl7a-ps7
Rpl34
Rpl9-ps8
Rpl36a-ps2
Rpsa-ps10
Rpl29-ps1
Rps10-ps3
Rps18-ps2
Rps11-ps3
Bhmt-ps1
Rpl23a-ps6
Mrpl50
Rps15a-ps8
Rpsa-ps11
Rpl17-ps4
Rps18-ps1
Mrpl48-ps
Junos
Mrpl37
Rpl36-ps8
Mrps15
Rpl28-ps3
Rps15a-ps4
Rps6ka1
Rpl11
Rpl31-ps10
Rpl38-ps1
Rps19-ps3
Rpsa-ps12
Rps15a-ps3
Rps4x-ps
Rpl31-ps5
Rpl31-ps21
Rpl17-ps5
Rpl35a-ps5
Rpl9
Cox7b2
Rpl7-ps7
Cox18
Mrpl1
Mrps18c
Rps15a-ps5
Rpl5
Rps19-ps8
Rpl37rt
Rpl35a-ps6
Rpl31-ps6
Rps16-ps2
Mrps17
Rps29-ps
Rpl36-ps9
Cox19
Rps10-ps4
Rpl30-ps1
Rpl31-ps7
Rpl35a-ps7
Rps8-ps3
Rps19-ps14
Rps15-ps2
Rpl18a-ps2
Rpl18a-ps3
Rpl34-ps1
Rpl19-ps9
Mrpl35
Mrpl19
Mrpl53
Rps19-ps9
Rpl21-ps12
Mrps25
Rpl36-ps12
Rpl28-ps4
Mrpl51
Rpl18-ps2
Rpl36a-ps3
Rpl38-ps2
Rps25-ps1
Mrps35
Rps4l
Cox6b2
Rpl28
Rps8-ps4
Rpl7a-ps14
Mrps36-ps3
Rpl7a-ps8
Mrps12
Cox7a1
Rps12-ps5
Rps12-ps4
Rpl23a-ps8
Rpl23a-ps9
Rpl23a-ps10
Rpl23a-ps11
Rpl23a-ps7
Rpl23a-ps12
Rpl17-ps9
Rpl18a-ps4
Rps11
Rpl14-ps1
Rpl18
Rps12l1
Rpl17-ps10
Mrpl46
Mrps11
Rps17
Rpl7a-ps9
Rps13-ps2
Rps11-ps5
Rpl15-ps5
Mrpl48
Cox20b
Mrps36-ps2
Mrpl17
Rps4l-ps
Rpl19-ps10
Rps13
Rps15a
Cox6a2
Rpl21-ps13
Cox8b
Rplp2
Mrpl23
Rpl17-ps11
Rpl32l
Rps2-ps3
Rps12
Rps19-ps11
Rpl26-ps1
Rps19-ps10
Rps8-ps1
Rpl48-ps1
Rpl27a-ps1
Rpl19-ps2
Mrpl42
Rps15a-ps1
Rps26
Rpsa-ps2
Rps23rg1
Rps23-ps2
Rpl21-ps14
Rps16-ps3
Rpl19-ps11
Rpl30-ps2
Mrps31
Rpl31-ps23
Rps12-ps24
Rps7-ps1
Rpl18a
Rps13-ps1
Rps6-ps2
Rpl10-ps5
Rpl10-ps2
Rps13-ps4
Cox4i1
Rpl13
Rps12-ps9
Rpl21-ps4
Rpl19-ps4
Rpl31-ps3
Rpl19-ps3
Rps19-ps2
Rps19-ps1
Rps12-ps2
Rps2-ps5
Rps2-ps6
Rps3a2
Rpl36a-ps1
Rpl17-ps7
Rpl27a-ps2
Rpl19-ps5
Hephl1
Mrpl4
Rpl15-ps3
Rps2-ps12
Rpl26-ps6
Rpl10-ps3
Rps6-ps3
Cox5a
Rps11-ps1
Rps27l
Rpl15-ps2
Rps27a-ps2
Rpl7a-ps10
Mrps22
Mrpl3
Rps2-ps11
Rps15a-ps6
Rpl12-ps2
Rpl15-ps1
Rpsa-ps3
Rpsa-ps5
Rpsa-ps4
Rpl9-ps2
Rpl9-ps3
Rps2-ps4
Mrpl22
Mrpl55
Rps13-ps5
Prpsap2
Cox10
Rpl23a-ps2
Rps12-ps19
Rpl36-ps2
Rpl23a
Rpl9-ps1
Rpl13-ps1
Rps6kb1
Cox11
Mrpl10
Mrpl45
Rpl23
Rpl27
Rpl27-ps2
Rps12-ps26
Rpl23a-ps14
Rpl38
Mrpl58
Mrps7
Mrpl38
Rps11-ps2
Prpsap1
Rpl36-ps1
Rpl29-ps2
Rpl10a-ps2
Mrpl32
Cox5b-ps
Rps18-ps5
Rps17-ps1
Rpl17-ps6
Rpl13-ps2
Rpl9-ps4
Rpl31-ps2
Mrpl36
Rps18-ps4
Rps18-ps6
Rpl27a-ps4
Mrps27
Rpl31-ps13
Rps3a3
Rpl34-ps2
Mrps30
Rps7-ps2
Rpl21-ps2
Prps1l1
Rps11-ps4
Rpl31-ps17
Rpl18a-ps1
Cox6c2
Prps1l3
Rpl26-ps2
Rpl21-ps3
Rpl7a-ps1
Rpl10l
Rpl17-ps3
Cox16
Rps6kl1
Rpl31-ps1
Rpl17-ps2
Rpl30-ps8
Rps6ka5
Cox8c
Rps19-ps6
Rpl26-ps3
Rpl7a-ps2
Rpl37
Rpl19-ps6
Rpl30
Cox6c
Rpl7a-ps3
Rps19-ps5
Trps1
Rpl15-ps6
Mrpl13
Rpl7-ps8
Rps6-ps1
Rpl3
Rps19bp1
Rpl31-ps22
Rpl31-ps8
Rpl10a-ps3
Rpl39-ps
Rpl39l
Rpl31-ps12
Rpl26-ps4
Rps2-ps7
Mrpl40
Rps10-ps2
Rpl35a
Rpl24
Rpl7a-ps4
Rps19-ps12
Rpl21-ps5
Mrpl39
Rpl31-ps4
Mrps6
Rps6ka2
Rps2
Rpl3l
Mrps34
Rpsa-ps6
Cox7c-ps1
Rps10
Rps2-ps9
Rpl35a-ps3
Rps2-ps8
Rps28
Mrps18b
Rpl9-ps9
Rpl9-ps5
Mrpl14
Mrps18a
Mrpl2
Rpl7l1
Mrps10
Mrps36-ps1
Rpl21-ps6
Rpl36
Rpsa-ps8
Rpl31-ps25
Rpsa-ps7
Rpl21-ps7
Rpl31-ps16
Rpl36-ps4
Rpl7a-ps6
Mrpl27-ps
Rpl19-ps7
Rpl29-ps5
Rps19-ps13
Rps19-ps4
Rps2-ps10
Rps15-ps3
Rpl37a-ps2
Rpl21-ps8
Mrpl21
Rps6kb2
Malat1
Mrpl49
Rps6ka4
Mrpl16
Rpl37-ps1
Rps15a-ps2
Rpl31-ps20
Rpl10-ps6
Cox15
Mrpl43
Rpl13a-ps1
Rpl31-ps18
mt-Tf
mt-Rnr1
mt-Tv
mt-Rnr2
mt-Tl1
mt-Nd1
mt-Ti
mt-Tq
mt-Tm
mt-Nd2
mt-Tw
mt-Ta
mt-Tn
mt-Tc
mt-Ty
mt-Co1
mt-Ts1
mt-Td
mt-Co2
mt-Tk
mt-Atp8
mt-Atp6
mt-Co3
mt-Tg
mt-Nd3
mt-Tr
mt-Nd4l
mt-Th
mt-Ts2
mt-Tl2
mt-Nd5
mt-Nd6
mt-Te
mt-Cytb
mt-Tt
mt-Tp
